name,ghidra_addr,ne_addr
FEnumCalcEnemyPlanets,10a8:45a6,0016:45a6
iBuildCyberStarbase,10a8:45de,0016:45de
EnsureCyberAiShdefs,10a8:4826,0016:4826
iAddAttackFleet,10a8:4eba,0016:4eba
TargetCyberArmada,10a8:51a4,0016:51a4
FGenerateTurn,10b0:0000,0017:0000
DoOrders,10b0:179a,0017:179a
MoveThings,10b0:18f4,0017:18f4
FuelFleets,10b0:2efa,0017:2efa
MoveFleets,10b0:32ce,0017:32ce
FTravelThroughMineFields,10b0:4f60,0017:4f60
SatisfyOrders,10b0:6798,0017:6798
Produce,10b8:0000,0018:0000
CBuildProdItem,10b8:0c92,0018:0c92
FBuildObject,10b8:19b2,0018:19b2
CreateShip,10b8:2fd6,0018:2fd6
RandomEvents,10b8:3064,0018:3064
TransferToOthers,10b8:3088,0018:3088
DropColonists,10b8:34e2,0018:34e2
HealShips,10b8:444c,0018:444c
AutoTerraform,10b8:48f6,0018:48f6
RemoteTerraforming,10b8:4c56,0018:4c56
FQueueColonistDrop,10b8:4faa,0018:4faa
UpdatePopulations,10b8:50a0,0018:50a0
UpdateGuesses,10b8:532c,0018:532c
MineMinerals,10b8:55a4,0018:55a4
MeteorStrike,10b8:560e,0018:560e
TossNonAutoBuildItems,10b8:5aec,0018:5aec
PlanetaryClimateChange,10b8:5c54,0018:5c54
DiscoverNewMinerals,10b8:5e0c,0018:5e0c
MysteryTrader,10b8:5efa,0018:5efa
UpdatePlayerScores,10b8:6258,0018:6258
CreateBackupDir,10b8:6dca,0018:6dca
FPacketDecay,10b8:6e9c,0018:6e9c
ThingDecay,10b8:70c6,0018:70c6
UnmarkMineFields,10b8:7638,0018:7638
SweepForMines,10b8:76a4,0018:76a4
BreedColonistsInTransit,10b8:7e4e,0018:7e4e
UpdateResearchStatus,10b8:80fe,0018:80fe
IBestRemoteTerra,10b8:8b70,0018:8b70
PopupWndProc,10c0:0000,0019:0000
FIsPopupHullType,10c0:0148,0019:0148
DrawPopup,10c0:01c0,0019:01c0
Popup,10c0:0c7c,0019:0c7c
PopupMenu,10c0:136c,0019:136c
PtDisplayPlanetStateInfo,10c0:1938,0019:1938
PtDisplayPlanetPopInfo,10c0:228e,0019:228e
PtDisplayZipOrdInfo,10c0:2d66,0019:2d66
PtDisplayFactoryMineInfo,10c0:3110,0019:3110
PtDisplayResourceInfo,10c0:3378,0019:3378
PtDisplayString,10c0:355c,0019:355c
ShipBuilder,10c8:008c,001a:008c
ShowMainControls,10c8:0160,001a:0160
FCheckQueuedShip,10c8:027c,001a:027c
SlotDlg,10c8:0550,001a:0550
DrawSlotDlg,10c8:2650,001a:2650
FTrackSlot,10c8:306a,001a:306a
DrawBuildSelComp,10c8:3ab2,001a:3ab2
PctJammerFromHul,10c8:42e6,001a:42e6
DrawBuildSelHull,10c8:451e,001a:451e
SetBuildSelection,10c8:53da,001a:53da
IDropPart,10c8:5476,001a:5476
DrawDlgLBEntireItem,10c8:59f0,001a:59f0
NthValidShdef,10c8:5c06,001a:5c06
NthValidEnemyShdef,10c8:5cf4,001a:5cf4
FillBuildDD,10c8:5e80,001a:5e80
FillBuildPartsLB,10c8:63e8,001a:63e8
UpdateSlotGlobals,10c8:6528,001a:6528
IEmptyBmpFromGrhst,10c8:6716,001a:6716
FakeListProc,10c8:6758,001a:6758
MakeNewName,10c8:694c,001a:694c
KillQueuedMassPackets,10c8:6a52,001a:6a52
KillQueuedShips,10c8:6c2a,001a:6c2a
ChangeProduction,10d0:0000,001b:0000
InitProduction,10d0:015e,001b:015e
FinishProduction,10d0:1090,001b:1090
ProductionDlg,10d0:1204,001b:1204
ProdCommandHandler,10d0:1994,001b:1994
InitializeProductionDlg,10d0:3430,001b:3430
DrawProductionDlg,10d0:35dc,001b:35dc
FillProdSrcLB,10d0:3b00,001b:3b00
PszNameProdItem,10d0:3c92,001b:3c92
GetProductionCosts,10d0:3f20,001b:3f20
EstimateItemProdSched,10d0:4f40,001b:4f40
ZipProdDlg,10d0:5490,001b:5490
EnableZipProdBtns,10d0:5df0,001b:5df0
FillZipProdLB,10d0:5e58,001b:5e58
ResearchDlg,10d8:0000,001c:0000
DrawResearchDlg,10d8:090a,001c:090a
FTrackResearchDlg,10d8:1a8c,001c:1a8c
GetTechLevelCost,10d8:1dba,001c:1dba
BrowserDlg,10d8:1ed8,001c:1ed8
BrowserWndProc,10d8:2876,001c:2876
DisplayComponentInfo,10d8:2ac6,001c:2ac6
ProjectedResearchSpending,10d8:65ae,001c:65ae
CostOfDevelopingItem,10d8:66e0,001c:66e0
FShouldPartBeHidden,10d8:68c4,001c:68c4
RaceCreationWizard,10e0:0000,001d:0000
RaceWizardDlg1,10e0:03ac,001d:03ac
RaceWizardDlg2,10e0:1060,001d:1060
DrawRace2,10e0:179a,001d:179a
IrcRaceDlgHitTest,10e0:2164,001d:2164
FTrackRaceDlg2,10e0:2204,001d:2204
RaceWizardDlg3,10e0:2792,001d:2792
DrawRace3,10e0:2aa4,001d:2aa4
FTrackRaceDlg3,10e0:2fb8,001d:2fb8
GetRaceStat,10e0:30d2,001d:30d2
SetRaceStat,10e0:3114,001d:3114
GetRaceGrbit,10e0:3176,001d:3176
SetRaceGrbit,10e0:31b8,001d:31b8
RaceWizardDlg4,10e0:320a,001d:320a
RaceWizardDlg5,10e0:378e,001d:378e
RaceWizardDlg6,10e0:3bae,001d:3bae
BoundsCheckPlayer,10e0:40ae,001d:40ae
CAdvantagePoints,10e0:444c,001d:444c
LInnateRaceHabitability,10e0:4c6e,001d:4c6e
InvalidateAdvPtsRect,10e0:54d4,001d:54d4
DrawRaceAdvantagePoints,10e0:55c6,001d:55c6
IRaceChecksum,10e0:5888,001d:5888
FSaveRace,10e0:58d4,001d:58d4
SetRCWTitle,10e0:5ab8,001d:5ab8
CreateRandomRace,10e0:5b08,001d:5b08
PctTrueMaxGrowth,10e0:65d4,001d:65d4
BattleVCR,10e8:0000,001e:0000
CBattles,10e8:028c,001e:028c
BtlDataGet,10e8:0362,001e:0362
CBattleUnits,10e8:0450,001e:0450
CBattleKills,10e8:062e,001e:062e
LdpFromItokDv,10e8:07a8,001e:07a8
SetVCRBoard,10e8:08d8,001e:08d8
VCRDlg,10e8:0e90,001e:0e90
GetVCRStats,10e8:193e,001e:193e
DrawVCR,10e8:1c62,001e:1c62
Delay,10e8:3a3e,001e:3a3e
AnimateAttack,10e8:3ac2,001e:3ac2
PopupVCRMenu,10e8:4518,001e:4518
EnableVCRButtons,10e8:48f6,001e:48f6
RelationsDlg,10f0:0088,001f:0088
NewPlanNameDlg,10f0:04ce,001f:04ce
BattlePlansDlg,10f0:0652,001f:0652
FDeleteBattlePlan,10f0:1706,001f:1706
SpankTheCheaters,10f0:192a,001f:192a
FFleetHasBombs,10f0:1e16,001f:1e16
FHullHasBombs,10f0:1ec2,001f:1ec2
FFleetHasTeeth,10f0:1fbe,001f:1fbe
FHullHasTeeth,10f0:2072,001f:2072
FFuelTanker,10f0:20f6,001f:20f6
CheckTarget,10f0:212a,001f:212a
FDumpCargo,10f0:234a,001f:234a
DropSalvage,10f0:24dc,001f:24dc
CplrBattle,10f0:2952,001f:2952
SpdOfShip,10f0:339c,001f:339c
LpshdefFromTok,10f0:388e,001f:388e
FCanKillTok,10f0:391e,001f:391e
DoBattles,10f0:3a26,001f:3a26
RegenShield,10f0:3c16,001f:3c16
InitFromHuldef,10f0:3cba,001f:3cba
CheckInitiative,10f0:3e68,001f:3e68
CheckWeapons,10f0:3ec2,001f:3ec2
RandomizeTokOrder,10f0:44d4,001f:44d4
InitializeBoard,10f0:45b4,001f:45b4
DzFromBrcBrc,10f0:4ca8,001f:4ca8
DpFromPtokBrcToBrc,10f0:4d2e,001f:4d2e
DzMoveRangeToConsider,10f0:5312,001f:5312
FDoesPrimaryTargetTypeExist,10f0:56d8,001f:56d8
FIsTargetOfMdTarget,10f0:587a,001f:587a
ScoreGuessBattleDamage,10f0:598c,001f:598c
ScoreFromGiveAndTakeAndTactic,10f0:5e34,001f:5e34
DxyMoveTokTo,10f0:5f18,001f:5f18
CTorpHit,10f0:6790,001f:6790
FAttack,10f0:69ac,001f:69ac
KillShips,10f0:7cde,001f:7cde
CreateSalvage,10f0:7ee8,001f:7ee8
FDamageTok,10f0:81d4,001f:81d4
DxyFromSpdRound,10f0:8b28,001f:8b28
FDoCoolBattle,10f0:8bcc,001f:8bcc
ITechLearnATech,10f0:9918,001f:9918
SendBattleMessages,10f0:9c0e,001f:9c0e
FAttackPlayer,10f0:ae06,001f:ae06
DoBombing,10f0:aefa,001f:aefa
TutorDlg,10f8:0000,0020:0000
PanicDlg,10f8:026a,0020:026a
ShowTutor,10f8:0374,0020:0374
DrawTutorText,10f8:03c0,0020:03c0
StartTutor,10f8:06b4,0020:06b4
AdvanceTutor,10f8:0a30,0020:0a30
EndTutor,10f8:0c02,0020:0c02
SaveGameState,10f8:0c90,0020:0c90
RestoreGameState,10f8:0e1c,0020:0e1c
FAskKillTutor,10f8:0f36,0020:0f36
FTutorTaskDone,10f8:0fbc,0020:0fbc
FCheckZip,10f8:6460,0020:6460
FCheckTemplate,10f8:666e,0020:666e
TutorError,10f8:67ae,0020:67ae
FCheckScanner,10f8:685c,0020:685c
FCheckFleetName,10f8:690a,0020:690a
FCheckSummary,10f8:69e2,0020:69e2
FCheckSelection,10f8:6af4,0020:6af4
FCheckMessages,10f8:6c48,0020:6c48
FCheckResearch,10f8:6da4,0020:6da4
FCheckFleetWP,10f8:6df4,0020:6df4
FCheckPlanetRoute,10f8:6f86,0020:6f86
FCheckLayingWP,10f8:6ff4,0020:6ff4
FCheckColonizeWP,10f8:70c0,0020:70c0
FCheckPatrolWP,10f8:71ac,0020:71ac
FCheckXferWP,10f8:7280,0020:7280
FCheckQueue,10f8:7442,0020:7442
FCheckBtlPlan,10f8:760a,0020:760a
FCheckCargo,10f8:7664,0020:7664
FCheckBuilderPart,10f8:77d8,0020:77d8
FCheckShipBuilder,10f8:7964,0020:7964
FTutorialEnabledShipBuilder,10f8:79f6,0020:79f6
FOKMergeDialog,10f8:81da,0020:81da
CchTutorString,1100:5a14,0021:5a14
ReportDlg,1108:0018,0022:0018
SetHScrollBar,1108:09e8,0022:09e8
DrawReport,1108:0bae,0022:0bae
ScoreXDlg,1108:0f66,0022:0f66
InitScoreDlg,1108:13b6,0022:13b6
DrawVCReport,1108:168e,0022:168e
DrawScoreReport,1108:1e0c,0022:1e0c
DrawHistoryReport,1108:2494,0022:2494
LFetchScoreXVal,1108:2f94,0022:2f94
DxReportColHdr,1108:305e,0022:305e
DrawReportItem,1108:3398,0022:3398
DrawMineralItem,1108:4ebe,0022:4ebe
PszGetDestName,1108:4f60,0022:4f60
FDestIsWP0,1108:50b4,0022:50b4
PszGetETA,1108:51a8,0022:51a8
PszGetTaskName,1108:53b8,0022:53b8
SortReportCache,1108:589c,0022:589c
ICompReport,1108:5bb8,0022:5bb8
ReportColumnPopup,1108:74d4,0022:74d4
InvalidateReport,1108:7af6,0022:7af6
ExecuteReportClick,1108:7cd6,0022:7cd6
DumpUniverse,1108:851e,0022:851e
DumpPlanets,1108:86e4,0022:86e4
DumpFleets,1108:9530,0022:9530
PrintMapDlg,1108:a1c2,0022:a1c2
LpthNew,1110:0000,0023:0000
FreeLpth,1110:0224,0023:0224
CPlanetsInCircle,1110:02a0,0023:02a0
DrawThingGauge,1110:044e,0023:044e
IValidateWormholePos,1110:064c,0023:064c
PctWormholeMoves,1110:0adc,0023:0adc
DoThingInteractions,1110:0b3a,0023:0b3a
IdmGiveTraderPart,1110:1a96,0023:1a96
