name,ghidra_addr,ne_addr,type
lSaltLast,1120:0360,0025:0360,int32_t
vretExitValue,1120:038c,0025:038c,int16_t
iPassCnt,1120:03d2,0025:03d2,int16_t
fProcessingTimer,1120:0414,0025:0414,int16_t
ptStickyHostModeDlg,1120:0416,0025:0416,POINT
vhpalSplash,1120:042e,0025:042e,uint16_t
vhdibTitle,1120:0430,0025:0430,uint16_t
rghwndBtnSplash,1120:0432,0025:0432,uint16_t[4]
rgcrMinerals,1120:0448,0025:0448,uint32_t[6]
rgszPlanetAttr,1120:047e,0025:047e,char *[3]
rgszPlanetAttrAbbr,1120:0492,0025:0492,char *[3]
rgszMinerals,1120:04cc,0025:04cc,char *[6]
rgszMineField,1120:04f2,0025:04f2,char *[3]
cMinGrafMax,1120:04f8,0025:04f8,int16_t
mpiTypeiItem,1120:050a,0025:050a,uint8_t[3]
mpdtsz,1120:0552,0025:0552,char *[8]
fOrdersVis,1120:0586,0025:0586,int16_t
grbitScan,1120:0588,0025:0588,uint16_t
vpctRadarView,1120:058a,0025:058a,int16_t
vrgScanPO,1120:058c,0025:058c,int16_t[5][2]
iScanZoom,1120:05a0,0025:05a0,int16_t
fInScrollSet,1120:05cc,0025:05cc,int16_t
ptStickyFindDlg,1120:05ce,0025:05ce,POINT
vrgszMRU,1120:05d2,0025:05d2,char *
bitTbl,1120:05d6,0025:05d6,int16_t[8]
rgszArial,1120:06a6,0025:06a6,char[32][4]
fFileErrSilent,1120:074c,0025:074c,int16_t
idsFileError,1120:074e,0025:074e,int16_t
wVersFile,1120:0750,0025:0750,uint16_t
bogi,1120:0766,0025:0766,uint32_t[25]
gd,1120:07ca,0025:07ca,GDATA
szListbox,1120:07dc,0025:07dc,char *
szCombobox,1120:07e8,0025:07e8,char *
szEdit,1120:07f0,0025:07f0,char *
szButton,1120:07fa,0025:07fa,char *
rgtilePlanet,1120:07fc,0025:07fc,TILE[6]
rgdxOrderDD,1120:085c,0025:085c,int16_t[3]
dxBattleDD,1120:0862,0025:0862,int16_t
dxShipLB,1120:0864,0025:0864,int16_t
dyShipLB,1120:0866,0025:0866,int16_t
dxFleetCompLB,1120:0868,0025:0868,int16_t
dyFleetCompLB,1120:086a,0025:086a,int16_t
dxPlanetProdLB,1120:086c,0025:086c,int16_t
dyPlanetProdLB,1120:086e,0025:086e,int16_t
dxOrderED,1120:0870,0025:0870,int16_t
iselProd,1120:0872,0025:0872,int16_t
hwndOrderED,1120:0874,0025:0874,HWND
vSerialNumber,1120:08ac,0025:08ac,int32_t
rglPopMac,1120:08cc,0025:08cc,int32_t[5]
ptStickyRenameDlg,1120:08e0,0025:08e0,POINT
rgszZipOrder,1120:0906,0025:0906,char *[4]
rgtileShip,1120:090e,0025:090e,TILE[7]
mdXferDlg,1120:0984,0025:0984,int16_t
ptStickyTransferDlg,1120:0986,0025:0986,POINT
fValidLx,1120:0998,0025:0998,int16_t
fValidLxf,1120:099a,0025:099a,int16_t
vlpMemStream,1120:099c,0025:099c,uint8_t *
lpLog,1120:09a0,0025:09a0,uint8_t *
imemLogCur,1120:09a4,0025:09a4,int16_t
imemLogPrev,1120:09a6,0025:09a6,int16_t
fLogOff,1120:09a8,0025:09a8,int16_t
vrgts,1120:09b4,0025:09b4,TURNSERIAL *
vrgPlanResExtra,1120:09b8,0025:09b8,uint16_t *
lpcd,1120:09bc,0025:09bc,COLDROP *
lpxf,1120:09c0,0025:09c0,XFERFULL *
vcBackupDirs,1120:09de,0025:09de,int16_t
hf,1120:0a22,0025:0a22,int16_t
lpbDefUni,1120:0a2a,0025:0a2a,char *
vrgszComputerPlayers,1120:0a7e,0025:0a7e,char *[7]
vrgszComputerLevel,1120:0aae,0025:0aae,char *[5]
ptStickyNewDlg,1120:0ad8,0025:0ad8,POINT
cbbitfMsg,1120:0af6,0025:0af6,int16_t
lpMsg,1120:0af8,0025:0af8,int16_t *
imemMsgCur,1120:0afc,0025:0afc,int16_t
cMsg,1120:0afe,0025:0afe,int16_t
iMsgCur,1120:0b00,0025:0b00,int16_t
iMsgSendCur,1120:0b02,0025:0b02,int16_t
fViewFilteredMsg,1120:0b04,0025:0b04,int16_t
vlpmsgplrIn,1120:0b06,0025:0b06,MSGPLR *
vlpmsgplrOut,1120:0b0a,0025:0b0a,MSGPLR *
vcmsgplrIn,1120:0b0e,0025:0b0e,int16_t
vcmsgplrOut,1120:0b10,0025:0b10,int16_t
viInRe,1120:0b12,0025:0b12,int16_t
vrgszUnits,1120:0b48,0025:0b48,char *[6]
iLastMsgGet,1120:0b75,0025:0b75,char
PCTLD00,1120:0b7c,0025:0b7c,char *
hwndPopup,1120:0b7e,0025:0b7e,HWND
GlobalPD,1120:0b80,0025:0b80,POPUPDATA
fInEditUpdate,1120:0c50,0025:0c50,int16_t
rgmapBuildBmps,1120:0c52,0025:0c52,HullSlotType[21]
iselSlot,1120:0c7c,0025:0c7c,int16_t
ptStickySlotDlg,1120:0c7e,0025:0c7e,POINT
hdibPlaque,1120:0c82,0025:0c82,HGLOBAL
hwndSlotDlg,1120:0c90,0025:0c90,HWND
rgszSpeed,1120:0ca0,0025:0ca0,uint8_t[30]
lpplProdGlob,1120:0cce,0025:0cce,PLPROD *
hwndProdDlg,1120:0cd2,0025:0cd2,HWND
fDlgUp,1120:0cd4,0025:0cd4,int16_t
ptStickyProduceDlg,1120:0cd6,0025:0cd6,POINT
ptStickyZipProdDlg,1120:0d00,0025:0d00,POINT
vyZPDStatic,1120:0d04,0025:0d04,int16_t
pctResGlob,1120:0d06,0025:0d06,int16_t
ptStickyResDlg,1120:0d08,0025:0d08,POINT
yTopTechNote,1120:0d0c,0025:0d0c,int16_t
ptStickyBrowserDlg,1120:0d1e,0025:0d1e,POINT
fBrowserValid,1120:0d22,0025:0d22,int16_t
rglphb,1120:0d34,0025:0d34,HB *[12]
mphtcbAlloc,1120:0d64,0025:0d64,uint16_t[12]
lpbBattleLog,1120:0d7c,0025:0d7c,uint8_t *
lpbBattleCur,1120:0d80,0025:0d80,uint8_t *
lpbBattleT,1120:0d84,0025:0d84,uint8_t *
vlpwtCargo,1120:0d88,0025:0d88,uint16_t *
idBattle,1120:0d8c,0025:0d8c,int16_t
fStarbaseDied,1120:0d8e,0025:0d8e,int16_t
fStarbaseDamaged,1120:0d90,0025:0d90,int16_t
ptStickyRelationsDlg,1120:0d92,0025:0d92,POINT
ptStickyBattlePlansDlg,1120:0d96,0025:0d96,POINT
iPlanSelDlg,1120:0d9a,0025:0d9a,int16_t
vrgplrDef,1120:0da2,0025:0da2,PLAYER[7]
rgidRaceBtn,1120:12e2,0025:12e2,uint16_t[5]
ptStickyRaceDlg,1120:12ec,0025:12ec,POINT
vrgszRCWWidth,1120:1304,0025:1304,char *[2]
szRacePass,1120:1308,0025:1308,char[16]
szRaceFile,1120:1318,0025:1318,char[16]
lRandSeed1,1120:1370,0025:1370,int32_t
lRandSeed2,1120:1374,0025:1374,int32_t
cRandStack,1120:1378,0025:1378,int16_t
iLastGet,1120:137a,0025:137a,char
rgptArrow,1120:138c,0025:138c,POINT[5]
rgptTriangle,1120:13a0,0025:13a0,POINT[3]
chbrCache,1120:13ac,0025:13ac,int16_t
rgcompstrlower,1120:13ae,0025:13ae,int16_t[26]
rgchcompstrlower,1120:13fe,0025:13fe,char *
rgchcomp,1120:1400,0025:1400,char[13]
vcPasswordFailures,1120:140e,0025:140e,uint16_t
hwndProgressGauge,1120:1410,0025:1410,HWND
vrgdpVCR,1120:1412,0025:1412,int32_t *
fAnimate,1120:1416,0025:1416,int16_t
viSpeedVCR,1120:1418,0025:1418,int16_t
ptStickyVCRDlg,1120:141a,0025:141a,POINT
hwndVCRDlg,1120:141e,0025:141e,HWND
fAi,1120:1442,0025:1442,int16_t
vlpbAiPlanet,1120:1444,0025:1444,uint8_t *
vlpbAiData,1120:1448,0025:1448,uint8_t *
vrglpplAi,1120:144c,0025:144c,PLANET * *
