name,ghidra_addr,ne_addr,type
viStepVCRCur,1120:260c,0025:260c,int16_t
cFutureTech,1120:260e,0025:260e,int16_t
dxMaxMineralQuan,1120:2610,0025:2610,int16_t
rgcrCache,1120:2612,0025:2612,uint32_t[32]
hbrPurple,1120:2692,0025:2692,HBRUSH
vrgplrNew,1120:2694,0025:2694,PLAYER *
hdrCur,1120:2696,0025:2696,HDR
rghwndBtn,1120:2698,0025:2698,uint16_t[13]
fDirtyPlan,1120:26b2,0025:26b2,int16_t
rghfontArial8,1120:26b4,0025:26b4,uint16_t[5]
rghfontArial7,1120:26be,0025:26be,uint16_t[1]
rghfontArial6,1120:26c0,0025:26c0,uint16_t[1]
hpenDkPurple,1120:26c2,0025:26c2,HPEN
hpenYellow,1120:26c4,0025:26c4,HPEN
hcurResizeNS,1120:26c6,0025:26c6,HCURSOR
vrgrcSlot,1120:26c8,0025:26c8,RECT[16]
lpfnFakeCEProc,1120:2748,0025:2748,int32_t() *
dScanPage,1120:274c,0025:274c,int16_t
vrcTooltip,1120:274e,0025:274e,RECT
hwndMain,1120:2756,0025:2756,HWND
viRound,1120:2758,0025:2758,int16_t
hbrTooltip,1120:275a,0025:275a,HBRUSH
rcSpinTop,1120:275c,0025:275c,RECT
rcSpinBot,1120:2764,0025:2764,RECT
vcRound,1120:276c,0025:276c,int16_t
rgidPlan,1120:276e,0025:276e,int16_t[999]
lpfnRealCEProc,1120:2f3c,0025:2f3c,int32_t() *
rgptPlan,1120:2f40,0025:2f40,POINT[999]
vptMsg,1120:3edc,0025:3edc,POINT
yBuildInfoSum,1120:3ee0,0025:3ee0,int16_t
mdMsgObj,1120:3ee2,0025:3ee2,int16_t
hcurNoWay,1120:3ee4,0025:3ee4,HCURSOR
idMsgObj,1120:3ee6,0025:3ee6,int16_t
ptPlaque,1120:3ee8,0025:3ee8,POINT
crButtonHilite,1120:3eec,0025:3eec,COLORREF
vtimer,1120:3ef0,0025:3ef0,TIMER
hbmpUnknownPlanet,1120:3efa,0025:3efa,HBITMAP
lpfnReportDlgProc,1120:3efc,0025:3efc,int32_t() *
rgshdef,1120:3f00,0025:3f00,SHDEF[16]
rgcbtlplan,1120:4830,0025:4830,uint8_t[16]
rghfontArial10,1120:4840,0025:4840,uint16_t[2]
xNewGameDiamond,1120:4844,0025:4844,int16_t
vrgAiCyberArmadaPotency,1120:4846,0025:4846,uint8_t[4]
dScanInc,1120:484a,0025:484a,int16_t
szMsgTitle,1120:484c,0025:484c,char[90]
crWindowText,1120:48a6,0025:48a6,COLORREF
hwndRaceParent,1120:48aa,0025:48aa,HWND
vrgrcRCW,1120:48ac,0025:48ac,RECT *
hcurArrowHelp,1120:48ae,0025:48ae,HCURSOR
rgrcRef,1120:48b0,0025:48b0,RECT[19]
vclpplAi,1120:4948,0025:4948,int16_t
rcMsgTitle,1120:494a,0025:494a,RECT
hdibPlanets,1120:4952,0025:4952,HGLOBAL
yTopFutureTech,1120:4954,0025:4954,int16_t
sel,1120:4956,0025:4956,SEL
rghsFutureTech,1120:4a38,0025:4a38,HS[8]
hAccelTitle,1120:4a58,0025:4a58,uint16_t
hbmpScanner,1120:4a5a,0025:4a5a,HBITMAP
grbitScanMines,1120:4a5c,0025:4a5c,uint16_t
rcProdDiamond,1120:4a5e,0025:4a5e,RECT
hcurScanner,1120:4a66,0025:4a66,HCURSOR
pxfer,1120:4a68,0025:4a68,XFER *
iPopMenuSel,1120:4a6a,0025:4a6a,int16_t
szPopupBuffer,1120:4a6c,0025:4a6c,char[256]
dxTip,1120:4b6c,0025:4b6c,int16_t
rghdibShips,1120:4b6e,0025:4b6e,uint16_t[5]
hbr50Screen,1120:4b78,0025:4b78,HBRUSH
hcurOpenGrab,1120:4b7a,0025:4b7a,HCURSOR
cPlanet,1120:4b7c,0025:4b7c,int16_t
hbmpScanShip,1120:4b7e,0025:4b7e,HBITMAP
vrgtok,1120:4b80,0025:4b80,TOK *
rghwndMsgBtn,1120:4b84,0025:4b84,uint16_t[4]
vidsTooltip,1120:4b8c,0025:4b8c,int16_t
vfAscendingPrev,1120:4b8e,0025:4b8e,int16_t
ptSpeedVCR,1120:4b90,0025:4b90,POINT
