name,ghidra_addr,ne_addr,signature
DrawPlanShipBitmap,1048:3336,000a:3336,"void DrawPlanShipBitmap(HDC hdc, TILE *ptile, OBJ obj)"
DrawPlanetShipList,1048:377e,000a:377e,"void DrawPlanetShipList(HDC hdc, TILE *ptile, OBJ obj)"
SetPlanetTitleBar,1048:3dec,000a:3dec,"void SetPlanetTitleBar(HWND hwnd)"
ChangeMainObjSel,1048:3e7a,000a:3e7a,"void ChangeMainObjSel(GrobjClass grobjNew, int16_t iObjSel)"
FillShipDD,1048:42a0,000a:42a0,"void FillShipDD(int16_t idSkip)"
SelectAdjPlanet,1048:44da,000a:44da,"void SelectAdjPlanet(int16_t dInc, int16_t idPlanet)"
IdFindAdjStarbase,1048:474e,000a:474e,"int16_t IdFindAdjStarbase(int16_t idPlanet, int16_t fNext)"
PlanetClick,1048:489e,000a:489e,"void PlanetClick(int16_t x, int16_t y, int16_t sks, int16_t fRightBtn)"
ClickInPlanetOrders,1048:515c,000a:515c,"uint16_t ClickInPlanetOrders(POINT pt, int16_t sks, int16_t fCursor, int16_t fRightBtn)"
EnsureTileSize,1048:587e,000a:587e,"void EnsureTileSize(int16_t fSmallTiles)"
ReflowColumn,1048:5b80,000a:5b80,"void ReflowColumn(int16_t iCol, int16_t iTile, int16_t fRedraw)"
IBestTerraform,1048:5dd2,000a:5dd2,"int16_t IBestTerraform(PLANET *lppl, int16_t fHelp)"
PszCalcEnvVar,1048:5fcc,000a:5fcc,"char * PszCalcEnvVar(int16_t iEnv, int16_t iVar)"
PszCalcGravity,1048:6058,000a:6058,"char * PszCalcGravity(int16_t iGravity)"
HandleFocusState,1048:60e6,000a:60e6,"void HandleFocusState(DRAWITEMSTRUCT *lpdis, int16_t inflate)"
DrawCBEntireItem,1048:6128,000a:6128,"void DrawCBEntireItem(DRAWITEMSTRUCT *lpdis, int16_t inflate)"
DrawProductionItem,1048:6208,000a:6208,"void DrawProductionItem(HDC hdc, RECT *prc, char *psz, int16_t inflate, int16_t fSelected, int16_t fListbox)"
FillPlanetProdLB,1048:6692,000a:6692,"void FillPlanetProdLB(HWND hwnd, PLPROD *lpplprod, PLANET *lppl)"
PctPlanetCapacity,1048:6aca,000a:6aca,"int16_t PctPlanetCapacity(PLANET *lppl)"
PctPlanetOptValue,1048:6b88,000a:6b88,"int16_t PctPlanetOptValue(PLANET *lppl, int16_t iPlr)"
PctPlanetDesirability,1048:6e1e,000a:6e1e,"int16_t PctPlanetDesirability(PLANET *lppl, int16_t iPlr)"
CalcPlanetMaxPop,1048:7096,000a:7096,"int32_t CalcPlanetMaxPop(int16_t idpl, int16_t iplr)"
CMaxMines,1048:7248,000a:7248,"int16_t CMaxMines(PLANET *lppl, int16_t iplr)"
CMaxOperableMines,1048:7304,000a:7304,"int16_t CMaxOperableMines(PLANET *lppl, int16_t iplr, int16_t fNextYear)"
CMinesOperating,1048:73fc,000a:73fc,"int16_t CMinesOperating(PLANET *lppl)"
CFactoriesOperating,1048:74be,000a:74be,"int16_t CFactoriesOperating(PLANET *lppl)"
CMaxFactories,1048:755c,000a:755c,"int16_t CMaxFactories(PLANET *lppl, int16_t iplr)"
CMaxOperableFactories,1048:7618,000a:7618,"int16_t CMaxOperableFactories(PLANET *lppl, int16_t iplr, int16_t fNextYear)"
CMaxDefenses,1048:7710,000a:7710,"int16_t CMaxDefenses(PLANET *lppl, int16_t iplr)"
CMaxOperableDefenses,1048:77ae,000a:77ae,"int16_t CMaxOperableDefenses(PLANET *lppl, int16_t iplr, int16_t fNextYear)"
CResourcesAtPlanet,1048:788e,000a:788e,"int16_t CResourcesAtPlanet(PLANET *lppl, int16_t iplr)"
IWarpMAFromLppl,1048:7b10,000a:7b10,"int16_t IWarpMAFromLppl(PLANET *lppl, int16_t *pfTwo)"
StargateRangeFromLppl,1048:7cfa,000a:7cfa,"int16_t StargateRangeFromLppl(PLANET *lppl, int16_t iplr, int16_t ish)"
FProdIsTerra,1048:7e9a,000a:7e9a,"int16_t FProdIsTerra(PROD *lpprod)"
IpctCanTerraformLppl,1048:7f56,000a:7f56,"int16_t IpctCanTerraformLppl(PLANET *lppl)"
FCanTerraformLppl,1048:8022,000a:8022,"int16_t FCanTerraformLppl(PLANET *lppl, int16_t *rgEnvMin, int16_t *rgEnvMax, int16_t *rgEnvCost, int16_t fHelp)"
UninhabitPlanet,1048:8732,000a:8732,"void UninhabitPlanet(PLANET *lppl)"
PctCloakFromHuldef,1048:88c0,000a:88c0,"int16_t PctCloakFromHuldef(HUL *lphul, int16_t iplr, int16_t *ppctSteal)"
LogSplitFleet,1048:8b0e,000a:8b0e,"void LogSplitFleet(int16_t id)"
LogMergeFleet,1048:8b6c,000a:8b6c,"void LogMergeFleet(int16_t id)"
LogChangeShDef,1048:8c28,000a:8c28,"void LogChangeShDef(SHDEF *lpshdefNew)"
LogChangeName,1048:8d5a,000a:8d5a,"void LogChangeName(GrobjClass grobj, int16_t id, char *szName)"
LogChangeFleet,1048:8ebe,000a:8ebe,"void LogChangeFleet(FLEET *pfl, FLEET *pflNew)"
LogChangeRelations,1048:9340,000a:9340,"void LogChangeRelations()"
LogChangeBtlplan,1048:93d0,000a:93d0,"void LogChangeBtlplan(BTLPLAN *pbtlplan)"
LogChangePlanet,1048:9420,000a:9420,"void LogChangePlanet(PLANET *ppl, PLANET *pplNew)"
LogChangeThing,1048:9908,000a:9908,"void LogChangeThing(THING *lpth, THING *pthNew)"
LogMakeValidXfer,1048:99f6,000a:99f6,"void LogMakeValidXfer(LOGXFER *plx1, LOGXFER *plx2)"
LogMakeValidXferf,1048:9fa6,000a:9fa6,"void LogMakeValidXferf(LOGXFERF *plxf1, LOGXFERF *plxf2)"
CancelMemRt,1048:a108,000a:a108,"void CancelMemRt(RecordType rt)"
WriteMemRt,1048:a130,000a:a130,"void WriteMemRt(int16_t rt, int16_t cb, void *rg)"
DirtyGame,1048:a228,000a:a228,"void DirtyGame(int16_t fDirty)"
FGetPrevLogRt,1048:a25e,000a:a25e,"int16_t FGetPrevLogRt(HDR *phdr, uint8_t *pb)"
FRunLogFile,1048:a2d6,000a:a2d6,"int16_t FRunLogFile()"
FRunLogRecord,1048:a38c,000a:a38c,"int16_t FRunLogRecord(RecordType rt, int16_t cb, uint8_t *lpb)"
FLoadLogFile,1048:c7a2,000a:c7a2,"int16_t FLoadLogFile(char *pszLog)"
FCheckLogFile,1048:cccc,000a:cccc,"int16_t FCheckLogFile(int16_t iplr, int16_t *pfError)"
FWriteLogFile,1048:cdf6,000a:cdf6,"int16_t FWriteLogFile(char *pszFileBase, int16_t iPlayer)"
FWriteTutorialMFile,1048:d058,000a:d058,"int16_t FWriteTutorialMFile(int16_t iTurn)"
FWriteHistFile,1048:d29e,000a:d29e,"int16_t FWriteHistFile(int16_t iPlayer)"
EnumLogRts,1048:d6e0,000a:d6e0,"void EnumLogRts(int16_t (**pfn)(void *, int16_t, int16_t, void *, int16_t), void *lpPass, int16_t iPass)"
DrawShipOrders,1050:0000,000b:0000,"void DrawShipOrders(HDC hdc, TILE *ptile, OBJ obj)"
DrawShipWayPtOrders,1050:0912,000b:0912,"void DrawShipWayPtOrders(HDC hdc, TILE *ptile, OBJ obj)"
DrawShipPlanet,1050:17b6,000b:17b6,"void DrawShipPlanet(HDC hdc, TILE *ptile, OBJ obj)"
DrawShipCargo,1050:1a54,000b:1a54,"void DrawShipCargo(HDC hdc, TILE *ptile, OBJ obj)"
DrawFleetComp,1050:1e72,000b:1e72,"void DrawFleetComp(HDC hdc, TILE *ptile, OBJ obj)"
FCanSplit,1050:245c,000b:245c,"int16_t FCanSplit(int32_t cBoat)"
FCanSplitAll,1050:24ae,000b:24ae,"int16_t FCanSplitAll(int32_t cBoat)"
FCanMerge,1050:2522,000b:2522,"int16_t FCanMerge(FLEET *pfl)"
ShipCommandProc,1050:2640,000b:2640,"void ShipCommandProc(HWND hwnd, uint16_t wParam, int32_t lParam)"
SelectAdjFleet,1050:3d32,000b:3d32,"void SelectAdjFleet(int16_t dInc, int16_t idFleet)"
SetFleetDropDownSel,1050:400e,000b:400e,"void SetFleetDropDownSel(int16_t id)"
LGetFleetStat,1050:40f2,000b:40f2,"int32_t LGetFleetStat(FLEET *lpfl, int16_t grStat)"
WtMaxShdefStat,1050:41b2,000b:41b2,"int16_t WtMaxShdefStat(SHDEF *lpshdef, int16_t grStat)"
DrawFleetGauge,1050:44b6,000b:44b6,"void DrawFleetGauge(HDC hdc, RECT *prc, FLEET *lpfl, int16_t grbit)"
DrawFleetBitmap,1050:490e,000b:490e,"void DrawFleetBitmap(FLEET *lpfl, HDC hdc, int16_t x, int16_t y, int16_t fFrame, int16_t ibmp, int16_t cDiff, int16_t fShrink, int16_t ibmpRace, int16_t csh)"
FEnumCalcJettison,1050:4df4,000b:4df4,"int16_t FEnumCalcJettison(void *lprt, RecordType rt, int16_t cb, PLANET *lppl, int16_t iFleet)"
TransferStuff,1050:4faa,000b:4faa,"int16_t TransferStuff(int16_t id1, GrobjClass grobj1, int16_t id2, GrobjClass grobj2, int16_t mdXfer)"
TransferDlg,1050:5686,000b:5686,"int16_t TransferDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
FTrackXfer,1050:5a16,000b:5a16,"int16_t FTrackXfer(HWND hwnd, int16_t x, int16_t y, int16_t fkb)"
GetCargoFree,1050:5f98,000b:5f98,"int32_t GetCargoFree(FLEET *lpfl)"
GetFuelFree,1050:6004,000b:6004,"int32_t GetFuelFree(FLEET *lpfl)"
ChgCargo,1050:6034,000b:6034,"int32_t ChgCargo(GrobjClass grobj, int16_t id, int16_t iSupply, int32_t dChg, void *pobj)"
XferSupply,1050:64cc,000b:64cc,"int32_t XferSupply(int16_t iSupply, int32_t cQuan)"
UpdateXferBtns,1050:66a8,000b:66a8,"void UpdateXferBtns()"
DrawXferDlg,1050:6908,000b:6908,"void DrawXferDlg(HWND hwnd, HDC hdc, RECT *prc, int16_t iSupply)"
GetXferLeftRightRcs,1050:6b46,000b:6b46,"void GetXferLeftRightRcs(RECT *prcWhole, RECT *prcLeft, RECT *prcRight)"
FSetupXferBtns,1050:6bea,000b:6bea,"int16_t FSetupXferBtns(RECT *prc)"
DrawThingXferSide,1050:7088,000b:7088,"void DrawThingXferSide(HDC hdc, RECT *prc, THING *pth, int16_t iSupply)"
DrawFleetCargoXferSide,1050:72de,000b:72de,"void DrawFleetCargoXferSide(HDC hdc, RECT *prc, FLEET *pfl, int16_t iSupply)"
DrawFleetShipsXferSide,1050:7726,000b:7726,"void DrawFleetShipsXferSide(HDC hdc, RECT *prc, FLEET *pfl, int16_t iSupply)"
DrawPlanetXferSide,1050:79ca,000b:79ca,"void DrawPlanetXferSide(HDC hdc, RECT *prc, PLANET *ppl, int16_t iSupply)"
ClickInShipOrders,1050:7cda,000b:7cda,"uint16_t ClickInShipOrders(POINT pt, int16_t sks, int16_t fCursor, int16_t fRightBtn)"
FillFleetCompLB,1050:9166,000b:9166,"void FillFleetCompLB()"
FillOrdersLB,1050:928c,000b:928c,"void FillOrdersLB()"
SetOrdersLbSel,1050:9354,000b:9354,"void SetOrdersLbSel(int16_t iSel)"
UpdateOrdersDDs,1050:93ee,000b:93ee,"void UpdateOrdersDDs(int16_t iLevel)"
FillBattleDD,1050:9a36,000b:9a36,"void FillBattleDD(int16_t iSel)"
DeleteCurWayPoint,1050:9b08,000b:9b08,"void DeleteCurWayPoint(int16_t fBackup)"
DeleteWpFar,1050:9e28,000b:9e28,"void DeleteWpFar(FLEET *lpfl, int16_t iDel, int16_t fRecycle)"
EstFuelUse,1050:9fe4,000b:9fe4,"int32_t EstFuelUse(FLEET *lpfl, int16_t iOrd, int16_t iWarp, int32_t dTravel, int16_t fRangeOnly)"
FakeEditProc,1050:a700,000b:a700,"int32_t FakeEditProc(HWND hwnd, WMType msg, uint16_t wParam, int32_t lParam)"
IFindIdealWarp,1050:a76e,000b:a76e,"int16_t IFindIdealWarp(FLEET *lpfl, int16_t fIgnoreScoops)"
LFuelUseToWaypoint,1050:a9f4,000b:a9f4,"int32_t LFuelUseToWaypoint(FLEET *lpfl, int16_t iwp, int16_t fMaxCargo)"
FleetTransferCargoBalance,1050:ae74,000b:ae74,"void FleetTransferCargoBalance(FLEET *pflNew1, FLEET *pflNew2)"
DestroyAllIshdefSB,1050:c280,000b:c280,"void DestroyAllIshdefSB(int16_t ishdefSB, int16_t iplr)"
DestroyAllIshdef,1050:c336,000b:c336,"void DestroyAllIshdef(int16_t ishdef, int16_t iplr)"
RemoveIshdefFromAllQueues,1050:c5e6,000b:c5e6,"void RemoveIshdefFromAllQueues(int16_t ishdef, int16_t fSpaceDocks)"
CshQueued,1050:c82c,000b:c82c,"int16_t CshQueued(int16_t ishdef, int16_t *pfProgress, int16_t fSpaceDocks)"
Merge2Fleets,1050:c9f6,000b:c9f6,"void Merge2Fleets(FLEET *lpflDst, FLEET *lpflDel, int16_t fNoDelete)"
FleetOrdersChangeTarget,1050:cafe,000b:cafe,"void FleetOrdersChangeTarget(FLEET *lpflOld)"
GetTruePartCost,1050:cd00,000b:cd00,"void GetTruePartCost(int16_t iPlayer, PART *ppart, uint16_t *rgCost)"
ScannerWndProc,1058:0032,000c:0032,"int32_t ScannerWndProc(HWND hwnd, WMType msg, uint16_t wParam, int32_t lParam)"
PtToScan,1058:0efc,000c:0efc,"int16_t PtToScan(int16_t d)"
ScanToPt,1058:0fc2,000c:0fc2,"int16_t ScanToPt(int16_t d)"
DrawScanner,1058:108a,000c:108a,"int16_t DrawScanner(HDC hdc, RECT *prc)"
DrawScanFleetCount,1058:47d2,000c:47d2,"void DrawScanFleetCount(FLEET *lpfl, int16_t x, int16_t y, HDC hdc, HDC hdcMem)"
CShipsScanVis,1058:4bf4,000c:4bf4,"int32_t CShipsScanVis(FLEET *lpfl)"
DrawRadarCircle,1058:4e7c,000c:4e7c,"void DrawRadarCircle(DRAWCIR *pdc, RECT *prc)"
DrawShipScanPath,1058:540c,000c:540c,"void DrawShipScanPath(HDC hdc, int16_t fShow)"
DrawScannerSBar,1058:62d8,000c:62d8,"void DrawScannerSBar(HDC hdc, RECT *prc, SBAR *psbar, int16_t fFullRedraw)"
DrawLockLight,1058:6b00,000c:6b00,"void DrawLockLight(HDC hdc, RECT *prc, int16_t fFullRedraw)"
SetScanScrollBars,1058:6c14,000c:6c14,"void SetScanScrollBars(HWND hwnd)"
ScrollScanner,1058:6d30,000c:6d30,"void ScrollScanner(int16_t dx, int16_t dy)"
RedrawScanSel,1058:6f30,000c:6f30,"void RedrawScanSel(HDC hdc, int16_t fVis)"
FEnsurePointOnScreen,1058:715c,000c:715c,"int16_t FEnsurePointOnScreen(POINT pt, int16_t fScroll)"
CtrPointScan,1058:7278,000c:7278,"void CtrPointScan(POINT pt, int16_t fScroll)"
LogicalToScan,1058:744e,000c:744e,"void LogicalToScan(POINT *ppt)"
ScanToLogical,1058:7490,000c:7490,"void ScanToLogical(POINT *ppt)"
FAddWayPoint,1058:7504,000c:7504,"int16_t FAddWayPoint(POINT ptIn, SCAN *pscan)"
IWarpBestForWaypoint,1058:7a18,000c:7a18,"int16_t IWarpBestForWaypoint(FLEET *lpfl, ORDER *lpord)"
FNearAWayPoint,1058:8074,000c:8074,"int16_t FNearAWayPoint(POINT pt, int16_t fLogical)"
FHandleWayPointDrag,1058:8176,000c:8176,"int16_t FHandleWayPointDrag(POINT pt)"
DrawScanXorLines,1058:8af6,000c:8af6,"void DrawScanXorLines(HDC hdc, POINT *rgpt, int16_t cpt)"
SetScanWp,1058:8c5a,000c:8c5a,"int16_t SetScanWp(int16_t iNew)"
ChangeScanSel,1058:8cc4,000c:8cc4,"void ChangeScanSel(SCAN *pscan, int16_t fValidScan)"
FGetNextObjHere,1058:909c,000c:909c,"int16_t FGetNextObjHere(SCAN *pscan, int16_t fOnlyOurs)"
FindDlg,1058:9286,000c:9286,"int16_t FindDlg(HWND hwnd, WMType msg, uint16_t wParam, int32_t lParam)"
FSelectSz,1058:945a,000c:945a,"int16_t FSelectSz(char *szName)"
GetScanFleetOrientation,1058:978c,000c:978c,"void GetScanFleetOrientation(FLEET *lpfl, POINT *ppt, POINT *pptD)"
GetDxDyOrientation,1058:987c,000c:987c,"void GetDxDyOrientation(int16_t dx, int16_t dy, POINT *ppt, POINT *pptD)"
FHandleMeasuringTape,1058:9974,000c:9974,"int16_t FHandleMeasuringTape(SCAN *pscan, POINT pt)"
LphbAlloc,1060:0000,000d:0000,"HB * LphbAlloc(uint16_t cb, HeapType ht)"
LphbReAlloc,1060:0108,000d:0108,"HB * LphbReAlloc(HB *lphb)"
FreeHb,1060:02d8,000d:02d8,"void FreeHb(HB *lphb)"
ResetHb,1060:0348,000d:0348,"void ResetHb(HeapType ht)"
LpAlloc,1060:03b2,000d:03b2,"void * LpAlloc(uint16_t cb, HeapType ht)"
LphbFromLpHt,1060:058c,000d:058c,"HB * LphbFromLpHt(void *lp, HeapType ht)"
LpReAlloc,1060:0660,000d:0660,"void * LpReAlloc(void *lp, uint16_t cb, HeapType ht)"
FreeLp,1060:07a8,000d:07a8,"void FreeLp(void *lp, HeapType ht)"
LpplReAlloc,1060:0836,000d:0836,"PL * LpplReAlloc(PL *lppl, uint16_t cAlloc)"
LpplAlloc,1060:088c,000d:088c,"PL * LpplAlloc(uint16_t cbItem, uint16_t cAlloc, HeapType ht)"
FreePl,1060:0918,000d:0918,"void FreePl(PL *lppl)"
TbWndProc,1068:001e,000e:001e,"int32_t TbWndProc(HWND hwnd, WMType msg, uint16_t wParam, int32_t lParam)"
DrawToolbar,1068:06f0,000e:06f0,"void DrawToolbar(HDC hdc, RECT *prc)"
DrawBitmapButton,1068:078c,000e:078c,"void DrawBitmapButton(HDC hdc, POINT pt, int16_t ibtn, int16_t fDown)"
ItbFromPpt,1068:0b12,000e:0b12,"int16_t ItbFromPpt(POINT *ppt)"
DxOfBtn,1068:0bb2,000e:0bb2,"int16_t DxOfBtn(int16_t itb)"
FIsButtonDown,1068:0c3a,000e:0c3a,"int16_t FIsButtonDown(int16_t itb)"
ExecuteButton,1068:0db6,000e:0db6,"void ExecuteButton(int16_t itb, int16_t fDown)"
TerminateToolbarFocus,1068:1680,000e:1680,"void TerminateToolbarFocus(int16_t fCancel)"
ShowTooltip,1068:17ea,000e:17ea,"void ShowTooltip(StringId ids, RECT *prc)"
TooltipWndProc,1068:19e4,000e:19e4,"int32_t TooltipWndProc(HWND hwnd, WMType msg, uint16_t wParam, int32_t lParam)"
FakeComboProc,1068:1d72,000e:1d72,"int32_t FakeComboProc(HWND hwnd, WMType msg, uint16_t wParam, int32_t lParam)"
FakeCEProc,1068:1df0,000e:1df0,"int32_t FakeCEProc(HWND hwnd, WMType msg, uint16_t wParam, int32_t lParam)"
FReadShDef,1070:0006,000f:0006,"int16_t FReadShDef(RTSHDEF *lprt, SHDEF *lpshdef, int16_t iplrLoad)"
ReadRtPlr,1070:05e2,000f:05e2,"void ReadRtPlr(PLAYER *pplr, uint8_t *pbIn)"
FLoadGame,1070:0810,000f:0810,"int16_t FLoadGame(char *pszFileName, char *pszExt)"
FReadPlanet,1070:3206,000f:3206,"int16_t FReadPlanet(int16_t iPlayer, PLANET *lppl, int16_t fHistory, int16_t fPreInited)"
FReadFleet,1070:3a4c,000f:3a4c,"int16_t FReadFleet(FLEET *lpfl)"
UnpackBattlePlan,1070:40ce,000f:40ce,"void UnpackBattlePlan(uint8_t *lpb, BTLPLAN *lpbtlplan, int16_t iplan)"
UpdateBattleRecords,1070:41ac,000f:41ac,"void UpdateBattleRecords()"
AskSaveDialog,1070:432a,000f:432a,"int16_t AskSaveDialog(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
PromptSaveGame,1070:43ee,000f:43ee,"void PromptSaveGame()"
DestroyCurGame,1070:44b0,000f:44b0,"void DestroyCurGame()"
FBogusLong,1070:484c,000f:484c,"int16_t FBogusLong(uint32_t lSerial)"
FValidSerialLong,1070:48c4,000f:48c4,"int16_t FValidSerialLong(uint32_t lSerial)"
FileError,1070:4a10,000f:4a10,"void FileError(MessageId ids)"
GetFileStatus,1070:4a60,000f:4a60,"void GetFileStatus(int16_t dt, int16_t iPlayer)"
FOpenFile,1070:4ac2,000f:4ac2,"int16_t FOpenFile(DtFileType dt, int16_t iPlayer, int16_t md)"
FNewTurnAvail,1070:4f22,000f:4f22,"int16_t FNewTurnAvail(int16_t idPlayer)"
FCheckFile,1070:4fb2,000f:4fb2,"int16_t FCheckFile(DtFileType dt, int16_t iPlayer, uint16_t md)"
ReadRt,1070:5168,000f:5168,"void ReadRt()"
FBadFileError,1070:524e,000f:524e,"int16_t FBadFileError(StringId ids)"
StreamOpen,1070:52ae,000f:52ae,"void StreamOpen(char *szFile, int16_t mdOpen)"
StreamClose,1070:53cc,000f:53cc,"void StreamClose()"
RgFromStream,1070:53f4,000f:53f4,"void RgFromStream(void *rg, uint16_t cb)"
WriteOrders,1070:547e,000f:547e,"void WriteOrders(FLEET *lpfl)"
WriteRtPlr,1070:551c,000f:551c,"void WriteRtPlr(PLAYER *pplr, uint8_t *pbStore)"
WriteRtShDef,1070:574e,000f:574e,"void WriteRtShDef(SHDEF *lpshdef, uint8_t **ppbStore)"
FWriteDataFile,1070:5964,000f:5964,"int16_t FWriteDataFile(char *pszFileBase, int16_t iPlayer, int16_t fAppend)"
FAppendFile,1070:704e,000f:704e,"int16_t FAppendFile(int16_t iPlayer)"
WriteBattles,1070:709c,000f:709c,"void WriteBattles(int16_t iPlayer)"
WritePlanet,1070:7a6a,000f:7a6a,"void WritePlanet(PLANET *lppl, RecordType rt, int16_t fHistory)"
WriteFleet,1070:81c6,000f:81c6,"void WriteFleet(FLEET *lpfl)"
WriteRtString,1070:87b4,000f:87b4,"void WriteRtString(char *lpsz)"
MarkFleet,1070:885e,000f:885e,"void MarkFleet(FLEET *lpfl, int16_t det)"
WriteBattlePlan,1070:89b8,000f:89b8,"void WriteBattlePlan(BTLPLAN *lpbtlplan, int16_t fLog)"
MarkPlanet,1070:8adc,000f:8adc,"void MarkPlanet(PLANET *lppl, int16_t iPlr, uint16_t det)"
SetSzWorkFromDt,1070:8cfe,000f:8cfe,"void SetSzWorkFromDt(DtFileType dt, int16_t iPlayer)"
FCreateFile,1070:8e16,000f:8e16,"int16_t FCreateFile(DtFileType dt, int16_t iPlayer, char *szForceName)"
WriteBOF,1070:8ea4,000f:8ea4,"void WriteBOF(int16_t iPlayer, int16_t dt, int16_t fMulti)"
FMarkFile,1070:904a,000f:904a,"int16_t FMarkFile(DtFileType dt, int16_t iPlayer, int16_t mdMark, int16_t f)"
WriteRt,1070:947c,000f:947c,"void WriteRt(RecordType rt, int16_t cb, void *rg)"
RgToStream,1070:9554,000f:9554,"void RgToStream(void *rg, uint16_t cb)"
SetVisiblePlanFleet,1070:95bc,000f:95bc,"void SetVisiblePlanFleet(int16_t iPlr)"
SetVisPFInit,1070:9654,000f:9654,"void SetVisPFInit(int16_t iPlr)"
SetVisPFFleets,1070:a100,000f:a100,"void SetVisPFFleets(int16_t iPlr)"
SetVisPFPlanets,1070:abde,000f:abde,"void SetVisPFPlanets(int16_t iPlr)"
SetVisPFThings,1070:b9ee,000f:b9ee,"void SetVisPFThings(int16_t iPlr)"
SetVisPFFinish,1070:c41c,000f:c41c,"void SetVisPFFinish(int16_t iPlr)"
InitBattlePlan,1078:00c0,0010:00c0,"void InitBattlePlan(BTLPLAN *lpbtlplan, int16_t iplan, int16_t iplr)"
GenerateWorld,1078:0136,0010:0136,"int16_t GenerateWorld(int16_t fBatchMode)"
CreateStartupShip,1078:4690,0010:4690,"int16_t CreateStartupShip(int16_t iplr, int16_t idPlanet, int16_t ishdef, int16_t fAddShdef)"
GenNewGameFromFile,1078:4812,0010:4812,"int16_t GenNewGameFromFile(char *pszFile)"
CreateTutorWorld,1078:5e5e,0010:5e5e,"void CreateTutorWorld()"
NewGameWizard,1078:6022,0010:6022,"void NewGameWizard(HWND hwnd, int16_t fReadOnly)"
InitNewGamePlr,1078:6e44,0010:6e44,"void InitNewGamePlr(int16_t iStepMaxSoFar, int16_t lvlAi)"
InitNewGame3,1078:74f8,0010:74f8,"void InitNewGame3()"
FGetNewGameName,1078:7508,0010:7508,"int16_t FGetNewGameName(char *szFileSuggest)"
SimpleNewGameDlg,1078:76aa,0010:76aa,"int16_t SimpleNewGameDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
NewGameDlg,1078:7e92,0010:7e92,"int16_t NewGameDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
NewGameDlg2,1078:87d2,0010:87d2,"int16_t NewGameDlg2(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
DrawNewGame2,1078:9556,0010:9556,"void DrawNewGame2(HWND hwnd, HDC hdc, int16_t iDraw)"
NewGameDlg3,1078:99f4,0010:99f4,"int16_t NewGameDlg3(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
DrawNewGame3,1078:9d5e,0010:9d5e,"void DrawNewGame3(HWND hwnd, HDC hdc, int16_t iDraw)"
FTrackNewGameDlg3,1078:a210,0010:a210,"int16_t FTrackNewGameDlg3(HWND hwnd, POINT pt, int16_t kbd)"
SetNGWTitle,1078:a320,0010:a320,"void SetNGWTitle(HWND hwnd, int16_t iStep)"
LpplrComp,1078:b570,0010:b570,"PLAYER * LpplrComp(int16_t idAi, int16_t lvlAi)"
SetVCCheck,1078:b5bc,0010:b5bc,"void SetVCCheck(GAME *pgame, int16_t vc, int16_t fChecked)"
GetVCCheck,1078:b60c,0010:b60c,"int16_t GetVCCheck(GAME *pgame, int16_t vc)"
SetVCVal,1078:b644,0010:b644,"int16_t SetVCVal(GAME *pgame, int16_t vc, int16_t val)"
GetVCVal,1078:b710,0010:b710,"int16_t GetVCVal(GAME *pgame, int16_t vc, int16_t fRaw)"
ZipOrderDlg,1080:0000,0011:0000,"int16_t ZipOrderDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
EnableZipBtns,1080:0832,0011:0832,"void EnableZipBtns(HWND hwnd, int16_t iSel)"
RenameZipDlg,1080:0880,0011:0880,"int16_t RenameZipDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
RenameDlg,1080:0a68,0011:0a68,"int16_t RenameDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
FStargateJump,1080:0cfe,0011:0cfe,"int16_t FStargateJump(FLEET *lpfl, int16_t isbsSrc, int16_t isbsDst, int16_t dDist)"
MdCalcStargateDamage,1080:152e,0011:152e,"int16_t MdCalcStargateDamage(int16_t isbsSrc, int16_t isbsDst, int16_t dDist, int16_t wt, int16_t *ppctDmg)"
KillUsedWaypoints,1080:189a,0011:189a,"void KillUsedWaypoints()"
NoAutoTrackFleet,1080:1d32,0011:1d32,"void NoAutoTrackFleet(FLEET *lpflTarget)"
AutoRouteFleet,1080:1e52,0011:1e52,"void AutoRouteFleet(FLEET *lpfl, PLANET *lppl)"
FColonizer,1080:227c,0011:227c,"int16_t FColonizer(FLEET *lpfl)"
FScout,1080:2322,0011:2322,"int16_t FScout(FLEET *lpfl)"
AutoFleetOrder,1080:23c8,0011:23c8,"void AutoFleetOrder(FLEET *lpfl, PLANET *lppl)"
CMineFromLpfl,1080:25d2,0011:25d2,"int32_t CMineFromLpfl(FLEET *lpfl)"
PctTerraFromLpfl,1080:275c,0011:275c,"int32_t PctTerraFromLpfl(FLEET *lpfl)"
CLayMinesFromLpfl,1080:2886,0011:2886,"int32_t CLayMinesFromLpfl(FLEET *lpfl, int16_t iType, int16_t ishdef)"
CMineSweepFromLpfl,1080:2b26,0011:2b26,"int32_t CMineSweepFromLpfl(FLEET *lpfl)"
